	#SampleID	Номер пробы (кал)
0	SMPL0	K-011
1	SMPL1	K-013
2	SMPL10	K-059
3	SMPL11	K-060
4	SMPL12	K-062
5	SMPL13	K-063
6	SMPL14	K-066
7	SMPL15	K-068
8	SMPL16	K-069
9	SMPL17	K-070
10	SMPL18	K-072
11	SMPL19	K-078
12	SMPL2	K-025
13	SMPL20	K-079
14	SMPL21	K-081
15	SMPL22	K-084
16	SMPL23	K-087
17	SMPL24	K-091
18	SMPL25	K-010
19	SMPL26	K-012
20	SMPL27	K-015
21	SMPL28	K-016
22	SMPL29	K-017
23	SMPL3	K-030
24	SMPL30	K-018
25	SMPL31	K-019
26	SMPL32	K-020
27	SMPL33	K-022
28	SMPL34	K-023
29	SMPL35	K-024
30	SMPL36	K-026
31	SMPL37	K-028
32	SMPL38	K-029
33	SMPL39	K-031
34	SMPL4	K-033
35	SMPL40	K-034
36	SMPL41	K-035
37	SMPL42	K-036
38	SMPL43	K-037
39	SMPL44	K-038
40	SMPL45	K-039
41	SMPL46	K-004
42	SMPL47	K-040
43	SMPL48	K-042
44	SMPL49	K-045
45	SMPL5	K-041
46	SMPL50	K-046
47	SMPL51	K-047
48	SMPL52	K-050
49	SMPL53	K-053
50	SMPL54	K-054
51	SMPL55	K-055
52	SMPL56	K-056
53	SMPL57	K-007
54	SMPL58	K-008
55	SMPL59	K-009
56	SMPL6	K-044
57	SMPL7	K-048
58	SMPL8	K-051
59	SMPL9	K-057
